epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3438.12,0.75175,0.69588,1.04928,0.74207,0.89734,0.87823,0.60651,0.80316,0.78598,0.9585,0.000775822,0.000775822,0.000775822
56,3500,0.73696,0.66216,1.02209,0.75567,0.85612,0.87261,0.60526,0.81444,0.74499,0.94882,0.000759318,0.000759318,0.000759318
57,3562.99,0.76912,0.71332,1.03656,0.80718,0.82664,0.8864,0.61283,0.82893,0.75985,0.99095,0.000742815,0.000742815,0.000742815
58,3625.32,0.73637,0.67294,1.01942,0.82419,0.84977,0.88858,0.63786,0.76759,0.68502,0.93119,0.000726312,0.000726312,0.000726312
59,3686.99,0.68805,0.63588,1.01281,0.79771,0.82268,0.87637,0.62102,0.82971,0.70126,0.96197,0.000709809,0.000709809,0.000709809
60,3747.78,0.75595,0.73002,1.04416,0.81587,0.78311,0.86412,0.62874,0.77747,0.67609,0.95913,0.000693305,0.000693305,0.000693305
61,3809.77,0.75449,0.7347,1.03504,0.77095,0.78906,0.79885,0.58573,0.80139,0.7323,0.94036,0.000676802,0.000676802,0.000676802
62,3870.81,0.70083,0.62465,1.00689,0.746,0.8247,0.82472,0.60677,0.81651,0.72287,0.96009,0.000660299,0.000660299,0.000660299
63,3933.12,0.72316,0.67127,1.02389,0.86718,0.77744,0.8964,0.6509,0.76862,0.67525,0.94913,0.000643795,0.000643795,0.000643795
64,3994.27,0.68841,0.63086,0.9696,0.85039,0.81521,0.89796,0.6467,0.758,0.68554,0.9196,0.000627292,0.000627292,0.000627292
65,4055.84,0.72058,0.66478,0.98215,0.86203,0.80721,0.89814,0.64155,0.78232,0.72501,0.92161,0.000610789,0.000610789,0.000610789
66,4119.75,0.706,0.66,0.95649,0.80513,0.8285,0.881,0.63816,0.75772,0.74216,0.91777,0.000594286,0.000594286,0.000594286
67,4181.63,0.73133,0.64257,1.00224,0.7662,0.82264,0.86112,0.62618,0.74186,0.73067,0.9165,0.000577782,0.000577782,0.000577782
68,4242.62,0.64447,0.57978,0.98478,0.87094,0.79834,0.90512,0.64609,0.75593,0.65973,0.9301,0.000561279,0.000561279,0.000561279
